title,isbn13,loc
the reader,9780307454898,PT2680.L54 V6713 1997
Drive Your Plow over the Bones of the Dead,,PG7179.O37P7613 2019
Good Economics for Hard Times : Better Answers to Our Biggest Problems,,HB171.5
Perfume: The Story of a Murderer,,PT2681.U74 P313 1986
Civilizations,,PQ2702.I57C5813 2021
First Person Singular: Stories,,PL856.U673 A2 2021
The Box: Tales from the Darkroom,,PT2613.R338 B6913 2010
Disorientation,,PS3603.H686 D57 2022
The Double and The Gambler,,PG3326 .D8 2005
Group Portrait with Lady,,PZ4.B6713 Gr3 PT2603.O394
All Systems Red (The Murderbot Diaries, #1),,PS3573.E4932 A79 2019
Diary of a Superfluous Man,,PZ3.T844
Waiting for Godot,,PQ2603.E378 E677 1987
All That Is Solid Melts Into Air: The Experience of Modernity,,CB425 .B458 1988
Dead Souls,,PG3333 .M4 1996b
The Brothers Karamazov,,PG3326 .B7 1992
"The Three-Body Problem (Remembrance of Earth’s Past, #1)",,PL2947.C59 S3613 2014
"The Dark Forest (The Three-Body Problem Series, 2)",,PL2947.C59
"Death's End (Remembrance of Earth’s Past, #3)",,PL2947.C59 D4313 2016
Demian: The Story of Emil Sinclair's Youth,,PT2617.E85 D413 1999
Steppenwolf,,PT2617.E85 S713 1969
The Story of Art,,N5300 .G643 1972
Diary of a Madman and Other Stories,,PG3333 .A6 2006
Krapp's Last Tape and Not I,,PR6003.E282 K7
Revenge,,PL858.G37 K3613 2013
The Box Man,,PL845.B4 H313 1991
The Sunday of Life,,PQ2633.U43 D513 1976
"Children of Memory (Children of Time, #3)",,PR6120.C53 C44 2022
"Bartleby the Scrivener & Other Stories: The Lightning-rod Man, The Bell-Tower",,PZ3.M498 Bl6 FT MEADE
Hit Parade of Tears,,PL861.U9265 K4513 2023
"Stella Maris (The Passenger, #2)",,PS3563.C337 S74 2022 FT MEADE
"The Employees: A workplace novel of the 22nd century",,PT8177.28.A87 A5713 2022
The Best Tales of Edgar Allen Poe,,PS2600 .F31 FT MEADE
The Passenger (The Passenger #1),,PS3563.C337 P37 2022 FT MEADE
Two Years Eight Months and Twenty-Eight Nights,,PR6068.U757 T96 2015 OVERFLOWJ34?
"All Systems Red (The Murderbot Diaries, #1)",,PS3573.E4932 A79 2019
Inter Ice Age 4,,PL845.B4 D313 1981
Spadework for a Palace,,PH3281.K8866 A6713 2022
The Ruined Map,,PL845.B4 M613 2001
My Work,,PT8177.28.A87 M5813 2023
Austerlitz,,PT2681.E18 A9513 2011
The Diary of a Nobody,,PR6013.R795 D53 2008
The Wall,,PT2617.A425 W313 2022
Notes from Underground,,PG3326 .Z4 2004
